exercise_id,tip
93,Controlled negative.
94,Tall spine.
94,Breathe into hips.
94,Don't force pain.
95,Rotate from waist.
95,Hips stable.
95,Arms straight-ish.
96,Elbows pinned.
96,Squeeze brachialis.
96,Slow down.
97,Hold onto machine.
97,Torso upright.
97,Controlled tempo.
98,Squeeze glute.
98,Don't arch back.
98,Small movement.
99,"It's a hinge, not a squat."
99,Squeeze glutes at top.
99,Neutral spine.
100,Elbows stationary.
100,Stretch triceps.
100,Split stance.
101,Don't roll shoulders.
101,Keep head neutral.
101,Squeeze traps at top.
102,Fluid rhythm.
102,Drive with legs.
102,Squeeze back at top.
103,Elbow stays stationary.
103,Squeeze tricep.
103,Neutral neck.
104,Hands stay close to body.
104,Elbows higher than wrists.
104,Control descent.
105,Don't swing legs.
105,Tilt pelvis at top.
105,Exhale on lift.
106,Use full body.
106,Don't flare elbows.
106,Keep core engaged.
107,Look forward.
107,Natural arm swing.
107,Use incline for difficulty.
108,Knees track over toes.
108,Relax grip on bars.
108,Check surroundings.
109,Relax hands.
109,Gaze at horizon.
109,Lean from ankles.
110,High hips.
110,Exhale underwater.
110,Rotate body.
111,Keep feet flat.
111,Use arms actively.
111, upright posture.
112,Engage core.
112,Work both directions.
112,Hands light.
113,Keep back against pad.
113,Relax upper body.
113,Focus on legs.
114,Legs provide 60% power.
114,Chain level.
114,Shin vertical at start.
115,Don't hold rails.
115,Full foot on step.
115,Stand tall.
116,Knees in line.
116,Shoulders down.
116,Engage core.
117,Move vertebrae by vertebrae.
117,Head moves with spine.
117,Breath initiates move.
118,Back close to chair.
118,Shoulders down.
118,Legs straight is harder.
119,Don't fully relax sit.
119,Chest up.
119,Knees out.
120,Eyes on horizon.
120,Don't look down.
120,Feel neck stretch.
121,Hips stacked.
121,Glute focus.
121,Head supported.
122,Drive elbows down.
122,Chest meets bar.
122,Squeeze lats.
123,Elbows drive down.
123,Core tight.
123,Full hang.
124,Tricep focus.
124,Wrists straight.
124,Feet planted.
125,Shoulders down.
125,Elbows slightly bent.
125,Look forward.
126,Coordination.
126,Core stability.
126,Reach.
127,Heel stays down.
127,Chest up.
127,Mobility focus.
128,Hips high.
128,Balance.
128,Core engagement.
129,Fingers point forward/side.
129,Chest open.
129,Hips consistent.
130,Twist hips.
130,Core tight.
130,Fast or slow.
131,Pivot back foot.
131,Core rotation.
131,Follow hand with eyes.
132,Ribs to hips.
132,Exhale up.
132,Hands light on head.
133,Back glued to floor.
133,Slow tempo.
133,Breathe.
134,Don't slide.
134,Lower pec focus.
134,Spotter recommended.
135,Safety stops set.
135,Smooth path.
135,Focus on pecs.
136,Cross arms.
136,Don't sit all the way up (rest).
136,Tension.
137,Palms forward.
137,Stretch at bottom.
137,Squeeze top.
138,Elbows locked in bend.
138,Stretch pecs.
138,Squeeze.
139,Elbows tucked.
139,Stretch long head.
139,Stable arm.
140,Core tight.
140,Upper chest focus.
140,Nose to floor.
141,Tricep focus.
141,Elbows tight.
141,Core engaged.
142,Foot to ceiling.
142,Flat back.
142, Squeeze.
143,Knuckles up.
143,Core tight.
143,No swing.
144,Light weight.
144,Full ROM.
144,Controlled.
145,Lead with elbows.
145,Pour the pitcher (slight rotation).
145,Shoulder height.
146,Palms turn up.
146,Full circle.
146,Mobility.
147,Ball shape.
147,Squeeze.
147,Extend fully.
148,Obliques.
148,Balance on hip.
148,Squeeze side.
149,Pivot feet.
149,Core power.
149,Eyes follow hands.
150,Core tight.
150,No swing.
150,Shoulder level.
151,Stay low.
151,Chest up.
151,Burn is normal.
152,Pinkies up.
152,Squeeze rear delts.
152,Controlled.
153,Forearm focus.
153,Elbows tucked.
153,Less weight than normal curl.
154,Smooth transition.
154,Core tight.
154,Full lock out.
155,Pivot feet.
155,Core drives move.
155,Arms straight.
156,Light weight.
156,Rotator cuff focus.
156,Control.
157,Neutral spine.
157,Weight in heels.
157,Squeeze glutes.
158,Control the width.
158,Converge at top.
158,Five points of contact.
159,Pause on floor.
159,Tricep focus.
159,Safe shoulder limits.
160,No momentum (chest support).
160,Squeeze back.
160,Neck neutral.
161,Upright torso.
161,Knee tracking.
161,Balance.
162,Ribs down.
162,Biceps by ears at top.
162,Core.
163,Elbows slightly bent.
163,Stretch lats.
163,Hips low.
164,Straight arms.
164,Think 'Up'.
164,Squeeze.
165,Chest up.
165,Deep hip hinge.
165,Feet flat.
166,Use legs.
166,Zip up the coat.
166,Locked arm catch.
167,Flow.
167,Catch in squat.
167,Drive.
168,One motion.
168,Use momentum.
168,Breathe.
169,Chest up.
169,Knees out.
169,Depth.
170,Tall at top.
170,Control down.
170,Don't push off floor.
171,Continuous.
171,Posture.
171,Stability.
172,Control.
172,Abs focus.
172,Hands for balance.
173,Speed.
173,Core tight.
173,Soft elbows.
174,Armpit snug.
174,Full stretch.
174,No body swing.
175,Chin ducked.
175,Squeeze glutes.
175,Vertical Shins.
176,Soft landing.
176,Explosive.
176,Balance.
177,Towel between elbow/ribs.
177,Small muscle.
177,Light weight.
178,Inner calf focus.
178,High reps.
178,Full ROM.
179,External rotation.
179,Squeeze rear delts.
179,Thumbs back.
180,Shoulders back.
180,Grip strength.
180,Core brace.
181,Glute medius.
181,Back flat.
181,Control.
182,Elbows tuck.
182,Tricep stretch.
182,Stable shoulder.
183,Big hug.
183,Slight bend.
183,Squeeze.
184,Explosive hips.
184,Athletic.
184,Soft landing.
185,Thumbs up.
185,Squeeze blades.
185,Neck neutral.
186,Lower back down.
186,Toes pointed.
186,Core.
187,Avoid bone (tibia).
187,Focus on muscle.
187,Gentle pressure.
188,Rotate leg.
188,Stack legs for pressure.
188,Find knots.
189,Gravity stretch.
189,Breathe deeply.
189,Relax.
190,Wrist flexors.
190,Wrist extensors.
190,Slow.
191,Search for pain points.
191,Breathe.
191,Lean.
192,Internal/External rotation.
192,Slow.
192,Hip to knee.
193,Groin to knee.
193,Breathe.
193,Awkward but good.
194,Painful area.
194,Breathe.
194,Small movements.
195,Often better to roll glutes/hips.
195,Do not hyperextend.
195,Support head.
196,Sub-occipital release.
196,Gentle.
196,Eyes closed.
197,Very painful.
197,Manage pressure.
197,Don't cry.
198,Both legs or one.
198,Bend knees to stretch.
198,Hip to knee.
199,Hug self to expose muscles.
199,Thoracic extension.
199,Support head.
200,Shoulder level.
200,No swing.
200,Core.
201,Dynamic warmup.
201,Keep torso upright.
201,Swing from hip.
202,Land softly.
202,Chest up.
202,Continuous motion.
203,Elbows leads the way up.
203,Heels planted.
203,Core brace.
204,Hands up.
204,Lean back slightly.
204,Snap the kick.
205,Explosive hips.
205,Lockout arms.
205,Footwork is key.
206,Head on floor.
206,Flex foot.
206,Breathe.
207,Chest stays very upright.
207,Squeeze glutes top.
207,Great for beginners.
208,Mobility flow.
208,Sink hips.
208,Fast pace.
209,Rings close to sides.
209,Turn knuckles out at top (RTO).
209,Chest forward.
210,Toes pointed.
210,Quads tight.
210,Push rings down.
211,Rotate rings (pronated to supinated).
211,Full hang.
211,Core.
212,Rings touch pockets.
212,Elbows locked.
212,External rotation.
213,Core stability.
213,Don't rotate hips.
213,Chest to floor.
214,Keep back on pad.
214,Feet planted.
214,Exhale on push.
215,Keep back straight (hinge).
215,Knee straight.
215,Breathe.
216,Tripod hand position.
216,Core tight.
216,Heels slide on wall.
217,Look at hands.
217,Tight core.
217,Push tall.
218,Don't swing.
218,Posterior pelvic tilt.
218,Control.
219,Hinge at hips.
219,Quads tight.
219,No swing.
220,Lat press down.
220,Kip allowed for CrossFit style.
220,Strict for strength.
221,Oblique control.
221,Slow.
221,Legs together.
222,Neutral grip.
222,Chest tall.
222,Drive floor away.
223,Hip drive.
223,Full extension.
223,Tuck knees.
224,Fast feet.
224,Lean back slightly.
224,Arms pump.
225,Fluid wave.
225,Elbows in.
225,Shoulder mobility.
226,Rhythmic breathing.
226,High reps.
226,Heels stay up.
227,Mobility.
227,Smooth.
227,Both directions.
228,Chin tucked.
228,Ribs down.
228,Heels push.
229,Lower back rounded.
229,Core tight.
229,Small rock.
230,Calf stiffness.
230,Springy.
230,Ball of foot.
231,Keep legs straight.
231,Hamstring stretch.
231,Core at bottom.
232,Upper chest focus.
232,Elbows tucked.
232,Feet planted.
233,Stretch upper pec.
233,Elbow bend.
233,Control.
234,Upper chest/Tricep.
234,Elbows in.
234,Control.
235,Full ROM.
235,Slight arch okay.
235,Stability.
236,Core stability.
236,Tricep heavy.
236,Squeeze ball.
237,No hip wiggle.
237,Core tight.
237,Slow taps.
238,Easier than floor.
238,Good regression.
238,Glutes tight.
239,Beginner friendly.
239,Full ROM.
239,Body rigid.
240,Subscapularis.
240,Pin elbow.
240,Light weight.
241,Outer calf focus.
241,High reps.
241,Burn.
242,Body plank.
242,Chest to bar.
242,Retract scapula.
243,Explosive up.
243,Slow down.
243,Balance on glutes.
244,Continuous.
244,Height.
244,Soft landing.
245,Springy.
245,Stiff knees.
245,Ankle power.
246,Cardio.
246,Light feet.
246,Rhythm.
247,Core anti-rotation.
247,Don't move hips.
247,Switch directions.
248,Hinge pattern.
248,Squeeze glutes.
248,Lats engaged.
249,Balance.
249,Flat back.
249,Hip closed.
250,Use hips.
250,Smooth rack.
250,Lockout.
251,Chest up.
251,Knees wide.
251,Heels down.
252,Use legs.
252,One motion.
252,Breathe out at top.
253,Look at the KB.
253,Back leg straight.
253,Hinge hips.
254,Regression for standard plank.
254,Core engagement.
254,Glutes tight.
255,Anti-rotation.
255,Hips square.
255,Slow.
256,Advanced plyo.
256,Use arms.
256,Fast hips.
257,Lower back relief.
257,Gentle rock.
257,Breathe.
258,Hips stationary.
258,Movement is spinal flexion.
258,Elbows to knees.
259,Don't arch back.
259,Tuck tailbone.
259,Arm reach adds stretch.
260,Removes leg drive.
260,Core stability.
260,Glute tight.
261,Straight arms.
261,Small move.
261,Protraction/Retraction.
262,Lean slightly forward.
262,Core tight.
262,Follow bar path (arc).
263,Gentle.
263,Palm flat.
263,Straight elbows.
264,Core killer.
264,Quads cramp.
264,Keep legs horizontal.
265,Lean in.
265,Core.
265,Scapular movement.
266,Lead with elbows.
266,No momentum.
266,Pinky up.
267,Deep hinge.
267,Chest up.
267,Dynamic.
268,Isolate side delt.
268,No swinging.
268,Pause top.
269,Towel under elbow.
269,Small ROM.
269,Rear cuff.
270,Subscap.
270,Controlled.
270,Pin elbow.
271,Cuff health.
271,90 deg elbow.
271,Slow.
272,Rehab move.
272,Use towel.
272,Gentle.
273,Rotator cuff.
273,Control.
273,Breathe.
274,Don't lock knees.
274,Lower back on pad.
274,Feet width varies target.
275,Full stretch.
275,Pause top.
275,Safety lock ready.
276,High foot = glute/ham.
276,Low foot = quad.
276,Wide = Adductors.
277,Abs focus.
277,Balance.
277,Exhale in.
278,Scooping motion.
278,Upper chest.
278,Elbows slight bend.
279,Balance.
279,Flow.
279,Core.
280,Stability.
280,Coordination.
280,Iso hold.
281,Balance.
281,Obliques.
281,Slow.
282,Time under tension.
282,Vertical torso.
282,Deep lunge.
283,Lower abs.
283,Back flat.
283,Toes pointed.
284,Cross body.
284,Tricep medial head.
284,Control.
285,Neck muscles.
285,Light weight.
285,Towel for comfort.
286,Hips down.
286,Squeeze hams.
286,Slow negative.
287,Lower abs.
287,Back flat.
287,Exhale up.
288,Glute med.
288,Heel leads.
288,Small ROM.
289,Rehab/Regression.
289,Core.
289,Back flat.
290,Focus on form.
290,Full ROM.
290,Slow return.
291,Triceps flat.
291,Squeeze.
291,Full extension.
292,Quads focus.
292,Back flat.
292,Deep.
293,Core tight.
293,Full lockout.
293,Controlled eccentric.
294,Rotation.
294,Power.
294,Core.
295,Thumbs down finish.
295,Step into it.
295,Power.
296,Catch with both hands.
296,Explosive.
296,Triceps.
297,Hip rotation.
297,Arm extension.
297,Power.
298,Balance.
298,Narrow grip.
298,Triceps.
299,Hips lead.
299,Arms follow.
299,Hard throw.
300,Use abs.
300,Squat into it.
300,Angry.
301,Like KB swing.
301,Straight arms.
301,Hips drive it.
302,Explosive throw.
302,Fast transition.
302,Open space needed.
303,Straight legs.
303,Balance on glutes.
303,Control.
304,Step into throw.
304,Soft catch.
304,Fast rhythm.
305,Pivot feet.
305,Core rotation.
305,Eyes follow ball.
306,Straight line head to knees.
306,Core tight.
306,Full ROM.
307,Easier than full bicycle.
307,Control.
307,Twist.
308,Shoulder blades off floor.
308,Chin tucked.
308,Squeeze.
309,Anti-rotation.
309,Glutes.
309,Wide knees for base.
310,Straight line knees to head.
310,Elbow under shoulder.
310,Chest open.
311,Use momentum.
311,Thumb over grip.
311,Knees tucked.
312,Hips low.
312,Shoulders over hands.
312,Fast.
313,False grip.
313,Kipping helps.
313,Chest over bar fast.
314,Depress opposite shoulder.
314,Breathe.
314,Gentle.
315,Fight gravity.
315,Full lockout.
315,Builds strength.
316,Low impact.
316,Full ROM.
316,Steady pace.
317,Anti-rotation.
317,Squeeze lat.
317,Flat back.
318,Anti-rotation of torso.
318,Snap hips.
318,Free arm follows.
319,Tricep isolation.
319,Squeeze.
319,Legs straight.
320,Focus.
320,Squeeze.
320,Full ext.
321,Vertical dip.
321,Explode.
321,Lockout.
322,Pull to hip.
322,Flat back.
322,Elbow back.
323,Tame the arc.
323,Punch fast.
323,Soft catch.
324,Rotator cuff.
324,Light weight.
324,Posture.
325,Double bicep pose.
325,Elbows high.
325,Squeeze.
326,Mobility test.
326,Active shoulders.
326,Core.
327,Head through window.
327,Grip strength.
327,Core.
328,Shoulder endurance.
328,Balance.
328,Depth.
329,Reach down spine.
329,Head up.
329,Breathe.
330,Home workout.
330,Balance.
330,Alignment.
331,Anti-rotation.
331,Soft knees.
331,Exhale out.
332,Constant tension.
332,Keep load on quads.
332,Burn out.
333,Deep core.
333,Back glued to floor.
333,Breathe.
334,Glute stretch.
334,Flex foot.
334,Breathe.
335,Balance.
335,Ankle mobility.
335,Strength.
336,Squeeze glutes.
336,Push floor.
336,Breathe.
337,Core stability.
337,Cardio.
337,Flat hips.
338,Squeeze abs.
338,Slow.
338,Control.
339,Glute squeeze.
339,No hip twist.
339,Core.
340,Control.
340,Feet pivot.
340,Core.
341,Small move.
341,Straight body.
341,Control.
342,Anti-rotation.
342,Wide feet.
342,Slow.
343,Switch arm lead.
343,Minimize wobble.
343,Core.
344,Hard.
344,Wide feet.
344,Don't twist.
345,Shoulder stability.
345,Core.
345,Upright.
346,Core.
346,Leg timing.
346,Fun.
347,Explosive.
347,Knee drive.
347,Arm drive.
348,Hamstring stretch.
348,Flat back.
348,Soft knees.
349,Unstable load.
349,Core.
349,Balance.
350,Fight the sag.
350,Chest up.
350,Depth.
351,Active range motion.
351,Hips down.
351,Squeeze hamstring.
352,Glute squeeze.
352,Small ROM.
352,Head on hands.
353,Isolated hamstring.
353,Hips down.
353,Smooth.
354,Elbows drive down.
354,Core tight.
354,Depress shoulders.
355,Elbows 45 degrees.
355,Core plank.
355,Full ROM.
356,Overload technique.
356,Lats tight.
356,Hips through.
357,Relax spine.
357,Soft knees.
357,Decompress.
358,Increases core load.
358,Glutes tight.
358,Don't twist.
359,Reverse fly.
359,Squeeze blades.
359,Pinkies back.
360,Wide feet.
360,Anti-rotation.
360,Core.
361,Exhale up.
361,Ribs to hips.
361,Shoulders off floor.
362,Squeeze back.
362,Flat spine.
362,Elbows back.
363,Elbows pinned.
363,Squeeze.
363,Adjust slack.
364,Relax calf.
364,Knee straight.
364,Breathe.
365,Shoulders down.
365,Straight arms.
365,Touch chest.
366,Standing hook punch.
366,Core.
366,Full ext.
367,Glute med.
367,Feet together.
367,Hips stacked.
368,Tension at bottom.
368,Flat back.
368,Hip drive.
369,Shin muscle.
369,Control.
369,Slow.
370,Abduction tension.
370,Glutes.
370,Ribs down.
371,Glute squeeze.
371,Small ROM.
371,No arch.
372,Shoulder height.
372,Lead elbow.
372,Control.
373,Quad focus.
373,Knee track.
373,Control.
374,Calf.
374,Full ROM.
374,Slow return.
375,Resisted lockout.
375,Explosive.
375,Core.
376,Knuckles up.
376,Core.
376,No swing.
377,Glute med.
377,Toes in/straight.
377,Athletic stance.
378,Thruster style.
378,Use legs.
378,One motion.
379,Resisted up.
379,Knees out.
379,Chest up.
380,Ribs down.
380,Full ext.
380,Head through.
381,Elbow high.
381,Tricep.
381,Squeeze.
382,Elbows in.
382,Stretch.
382,Core.
383,Lower abs.
383,Control down.
383,Curl spine.
384,Rear delts.
384,Big X.
384,Squeeze.
385,Small move.
385,Abs.
385,Control.
386,Knee friendly.
386,Torso stays up.
386,Front heel.
387,Squeeze blades.
387,Pinkies up.
387,Head down.
388,Bicep/Shoulder heavy.
388,Lean fwd.
388,Hard.
389,Forearms.
389,Grip.
389,Elbows in.
390,Glutes/Hams.
390,Hips high.
390,Toes point.
391,Chest open.
391,Tall.
391,Gentle.
392,Triceps.
392,Elbows tuck.
392,Unrack careful.
393,Obliques.
393,Full stretch.
393,Control.
394,Knees soft but fixed.
394,Flat back.
394,Squeeze glutes.
395,Use feet (J-hook).
395,Legs drive.
395,Lean back.
396,Wrists turn rope.
396,Small jumps.
396,Rhythm.
397,Pivot base foot.
397,Guard up.
397,Look at target.
398,Rotate chest.
398,Feet up (harder).
398,Slow.
399,Hip flexor.
399,Lat stretch.
399,Breathe.
400,Straight arms.
400,Lats engage.
400,Prep for pullup.
401,Rotator cuff.
401,Light weight.
401,Maintain hinge.
402,Spine rotation.
402,Hip opener.
402,Breathe.
403,Chest stretch.
403,Cardio.
403,Rhythm.
404,Soleus muscle.
404,Full ROM.
404,Pause top.
405,Long head bicep.
405,Stretch at bottom.
405,Elbows back.
406,Mobility.
406,Big circles.
406,Both ways.
407,Gentle.
407,Hold 30s.
407,Breathe.
408,Smooth rotation.
408,Core tight.
408,Full ROM.
409,Move head back.
409,Lockout.
409,Core.
410,Abs.
410,Balance.
410,Exhale in.
411,Pinkies up.
411,Head down.
411,Squeeze.
412,Mobility.
412,Flow.
412,Segmental.
413,Quad squeeze.
413,Hold top.
413,Toes up.
414,Rehab.
414,Control.
414,VMO focus.
415,Rear delt stretch.
415,Shoulder down.
415,Gentle.
416,No swing possible.
416,Strict.
416,Shoulder height.
417,Soleus focus.
417,Full drop.
417,Squeeze.
418,Strict form.
418,Full ext.
418,Squeeze.
419,Isolate peak.
419,Slow down.
419,Full stretch.
420,Tennis elbow rehab.
420,Light.
420,Burn.
421,Flexors.
421,Roll to fingers.
421,Squeeze.
422,Forearm.
422,Control.
422,Both ways.
423,Core.
423,Small kicks.
423,Breathe.
424,Flat back.
424,Toe up.
424,Gentle.
425,Cardio regression.
425,Speed.
425,Coordination.
426,Hip flexor.
426,Core.
426,Hold top.
427,Quads.
427,Lockout.
427,Squeeze.
428,Obliques.
428,Rotation.
428,Exhale twist.
429,Strict.
429,Pinkies up.
429,Trap check.
430,Flat back.
430,Core tension.
430,Feet down.
431,Hamstrings.
431,Lock lap pad.
431,Squeeze.
432,Stretch fwd.
432,Squeeze back.
432,Chest up.
433,Mobility.
433,Exhale twist.
433,Hips fixed.
434,Squeeze blades.
434,Elbows back.
434,Full ROM.
435,Soleus.
435,Deep stretch.
435,Pause.
436,Quads.
436,Hold top.
436,Slow down.
437,Traps.
437,Breathe.
437,Gentle.
438,Rotation.
438,Chin level.
438,Slow.
439,Forearm ext.
439,Burn.
439,Light.
440,Forearm flex.
440,Full roll.
440,Squeeze.
441,Wrist flexor.
441,Chest.
441,Breathe.
442,Cardio.
442,Core twist.
442,Snap.
443,Glute med.
443,Feet flat.
443,Squeeze.
444,Hamstring.
444,Slide floor.
444,Squeeze.
445,Quad/Glute.
445,Core.
445,Control.
446,Rehab.
446,Range.
446,Gentle.
447,Hydrate.
447,Check HR.
447,Prepare.
448,Strict.
448,Core.
448,Full ROM.
449,Release tension.
449,Big circles.
449,Breathe.
450,Oblique stretch.
450,Stay in plane.
450,Gentle.
451,Lat stretch.
451,Keep hip down.
451,Breathe.
452,Elbow to ceiling.
452,Core.
452,Full ext.
453,Core.
453,Tall spine.
453,No hands.
454,Diamond grip.
454,Elbows in.
454,Deep stretch.
455,TVA muscle.
455,Empty lungs first.
455,Suck navel to spine.
456,Gravity release.
456,Low back flat.
456,Breathe.
457,Snap punches.
457,Hands up.
457,Visualize foe.
458,Widen grip if stiff.
458,Straight arms.
458,Mobility.
459,Posterior delt.
459,Shoulder down.
459,Gentle.
460,Rotation.
460,Powah.
460,Pivot foot.
461,Absorb landing.
461,Speed or distance.
461,Use arms.
462,Obliques.
462,Squeeze.
462,Small move.
463,Adductor/Abductor.
463,Taller torso.
463,Smooth.
464,Knee back.
464,Hips fwd.
464,Breathe.
465,Straight line.
465,Head back.
465,Glutes tight.
466,Obliques.
466,Harder.
466,Control.
467,Full ROM.
467,Squeeze top.
467,Breathe.
468,Glute medius.
468,Stability.
468,Brutal.
469,Rotation.
469,Slow.
469,Eyes follow hand.
470,Lateral power.
470,Soft land.
470,Hips back.
471,Anti-rotation.
471,Glutes.
471,Core.
472,Core stability.
472,No rocking.
472,Control.
473,Constant tension.
473,Lean away.
473,Elbow lead.
474,Anti-rotation.
474,Core.
474,Line of force.
475,Stay vertical.
475,No side lean.
475,Grip.
476,Lawnmower.
476,Elbow to hip.
476,Squeeze.
477,Home workout.
477,Light.
477,High reps.
478,Lean in.
478,Core.
478,Follow arc.
