exercise_id,title,subtitle
34,Flaring Elbows,45 deg angle.
35,Leaning Back,Sign of too heavy.
35,Flaring Ribs,Engage core.
35,Half Reps,Full extension.
36,Rolling Shoulders,Up and down only.
36,Using Legs,Strict movement.
36,Head Jutting,Neutral Neck.
37,Slow Turnover,Be fast.
37,Bar Swing,Straight line.
37,Early Arm Pull,Use hips.
38,Knee Pain,Check alignment.
38,Leaning,Stay tall.
38,Narrow Stance,Widen for balance.
39,Resting on Wrists,Rack on shoulders.
39,Knees Caving,Squat mechanics.
39,Rounding Back,Keep tight.
40,Knee Cave,Push knees out.
40,Heel Lift,Flat feet.
40,Good Morning Squat,Hips rise too fast.
41,Pushing off Back Leg,Focus on front leg.
41,Knee Valgus,Track knee.
41,Rounding,Chest up.
42,Bending Knees,Keep straight for difficulty.
42,Shoulders Lifting,Anchor safely.
42,Rushing,Slow tempo.
43,Standing Upright,Squat slightly.
43,Small Waves,Use power.
43,Tense Shoulders,Relax traps.
44,All Arms,Use whole body.
44,Weak Slam,Be aggressive.
44,Rounding Back,Hinge properly.
45,Stopping,Keep rhythm.
45,Standing Tall,Stay in squat.
45,Grip Fatigue,Hold loosely if possible.
46,Trip Hazard,Watch rope position.
46,Loss of Rhythm,Reset if needed.
46,Weak Arms,Move ropes big.
47,Knee Strike,Control lunge.
47,Leaning,Stay upright.
47,Rope Stop,Keep waving.
48,Crossing Ropes,Keep separation.
48,Slow,Needs speed.
48,Standing Tall,Athletic base.
49,Half Squats,Full depth.
49,Stopping Arms,Keep moving.
49,Breath Holding,Breathe.
50,Butt High,Keep hips level with shoulders.
50,Rotating Hips,Anti-rotation focus.
50,Fast,Slow and controlled.
51,Shrugging,Relax your neck.
51,Band Rubbing Arms,Adjust band position.
51,leaning Forward,Stand tall.
52,Shoulder Roll,Keep shoulders retracted.
52,Wrist Curl,Keep wrists neutral.
52,Fast Tempo,Focus on the squeeze.
53,Pressing Movement,"This is an arc, not a press."
53,Going Too Deep,Stop at shoulder comfort level.
53,Lifting Head,Keep head on bench.
54,Bending Knees,Keep legs straight.
54,Large Kicks,Keep range small and fast.
54,Arching Back,Engage core deeply.
55,Landing Stiff,Absorb impact.
55,Jumping Down,Step down to save Achilles.
55,Shin scraping,Clear the edge comfortably.
56,Rising Torso,Keep chest down.
56,Jerking Hips,Strict pull.
56,Rounding Back,flatten spine.
57,Standing Too Upright,"Target is back, not traps."
57,Rounding,Chest out.
57,Using Momentum,Control the weight.
58,Dropping Elbows,Keep them high.
58,Swinging,Strict tricep isolation.
58,Heavy Weight,"Use light weight, high reps."
59,Muscling It,Should be passive motion.
59,Heavy Weight,Use very light or no weight.
59,Tense Neck,Relax.
60,Active Lifting,Let it hang.
60,Holding Breath,Relax.
60,Too Fast,Gentle sway.
61,Rounding Upper Back,Thoracic extension.
61,Leg Drive,Upper body pull.
61,Short ROM,Extend arms fully.
62,Spilling Water,Cap them tight!
62,Rounding,Flat back.
62,Shrugging,Shoulders down.
63,Swinging,Pause at top.
63,Too Heavy,Rear delts are weak.
63,Neck Tension,Look at floor.
64,Pulling Neck,Fingers light on head.
64,Hips Rocking,Stabilize pelvis.
64,Fast & Sloppy,Quality over quantity.
65,Arching Back,Keep spine neutral.
65,Hips Tilting,Imagine balancing a water connection on your back.
65,Rushing,Balance focus.
66,Bouncing,Slow revisions.
66,Rolling Ankles,Press through big toe.
66,Bent Knees,Straight legs for gastrocnemius.
67,Flaring Elbows,Shoulder risk.
67,Hips Dropping,Keep pike shape.
67,Head Banging,Control descent.
68,Bending Both Knees,One leg stays straight.
68,Rounding Back,Hinge hips.
68,Heel Lift,Keep foot flat.
69,Knees Caving,Push out.
69,Heels Lifting,Ankle mobility.
69,Chest Falling,Look forward.
70,Leaning Forward,Stay vertical.
70,Knees Caving,Push them wide.
70,Not Low Enough,Challenge depth.
71,Tightrope Walking,Widen stance.
71,Knee Slam,Control depth.
71,Stutter Step,Commit to the stride.
72,Arching Back,Ribs down.
72,Wobbly Knees,Stabilize.
72,Pushing with Head,Relax neck.
73,Sagging Hips,Strong plank.
73,Rounding Back on Lift,Deadlift mechanics.
73,BOSU Slipping,Press straight down.
74,Hips Dropping,Keep glutes engaged.
74,Neck Strain,adjust position.
74,Fast Reps,Balance requires control.
75,Unstable Feet,Plant them firmly.
75,Dropping Hips,Maintain bridge.
75,Flaring Elbows,45 degrees.
76,Rounding,Keep spine long.
76,Touching Feet,Try to keep them up.
76,Momentum,Slow down.
77,Bouncing Hips,Keep level.
77,Look Back,Look just forward.
77,BOSU Tipping,Press evenly.
78,Sagging hips,Engage abs.
78,Piking Hips,Lower them.
78,Holding Breath,Breathe.
79,Rotating Hips,Stay square.
79,High Leg,Only lift until glute engages.
79,Sagging,Core tight.
80,Rocking Hips,Widen stance.
80,Hand Position,Place hand where elbow was.
80,Neck Drop,Neutral.
81,Wobbling,Stabilize wrists.
81,Head Poke,Chest leads.
81,Half Reps,Full depth.
82,Rolling forward,Open chest.
82,Hips Sagging,Push hips high.
82,Shoulder Pain,Check alignment.
83,Back Arching,Ribs down.
83,Hip Drop,Keep square.
83,Neck Strain,Support head.
84,Knee Valgus,Control knee.
84,Falling,Step off safely.
84,Rounding,Chest up.
85,Uneven Footing,Center feet.
85,Looking Down,Look forward.
85,Rushing,Balance first.
86,Locked Knees,Stay athletic.
86,Holding Breath,Breathe.
86,Flailing,Center gravity.
87,Rounding Back,Lift chest.
87,Momentum,No throwing arms.
87,Neck Strain,Look up.
88,Arching Back,Tuck ribs.
88,Bent Arms,Lock them.
88,Head on Floor,hover.
89,Dropping Hands,Keep 'em up.
89,Pushing Punches,Snap them.
89,Flat Feet,Stay on toes.
90,Too Close,Hop out more.
90,Upright Torso,Can strain back leg hip flexor.
90,Knee Cave,Push out.
91,Worming Up,Strong pushup.
91,Landing Stiff,Soft knees.
91,Skipping Jump,Full extension.
92,Knees Up,"This is High Knees, keep 'em down."
92,Slow,Increase cadence.
92,Leaning,Stay tall.
93,Head Forward,Keep head back.
93,Short ROM,Full open.
93,Jerking,Smooth rep.
94,Rounding reduced,Sit tall.
94,Bouncing,Static stretch.
94,Forcing,Relax.
95,Thrusting Hips,Isolate core.
95,Bent Arms,Keep arc wide.
95,Shrugging,Shoulders down.
96,Swinging,Strict form.
96,Elbow Lift,Only lower arm moves.
96,Wrists Curling,Neutral.
97,Leaning,Stay tall.
97,Using Momentum,Squeeze muscles.
97,Toe Pointing,Flex foot.
98,Hyperextending Back,Only extend hip.
98,Momentum,Use muscle.
98,Bending Knee,Keep leg mostly straight.
99,Rounding,Flat back.
99,Pulling with Arms,Arms are hooks.
99,Squatting,"Hips go back, not down."
100,Elbows Flaring,Keep parallel.
100,Moving Shoulders,Isolate triceps.
100,Arched Back,Core tight.
101,Using Arms,Keep elbows locked.
101,Head Jutting,Chin tuck.
101,Jerking,Smooth tempo.
102,Rounding Back,Mainain posture.
102,Pulling Early,Legs then arms.
102,Knees Caving,Push knees out.
103,Dropping Elbow,Keep it high.
103,Swinging,Strict motion.
103,Fast Reps,Control rep.
104,Wrist Curl,Keep neutral.
104,Going Too High,Shoulder impingement risk.
104,Arching Back,Core tight.
105,Short ROM,Knees above waist.
105,Swinging,Use abs.
105,Shrugging,Press down into pads.
106,Arms Only,Use legs too.
106,Legs Only,Use arms too.
106,Tense Shoulders,Relax.
107,Holding Handrails,Reduces calorie burn.
107,Leaning Forward,Stay tall.
107,Looking Down,Neck strain.
108,Mashing Gears,Spin faster (higher RPM).
108,Locked Elbows,Keep soft.
108,Hunched Shoulders,Relax.
109,Heel Striking,Land mid-foot.
109,Overstriding,Step under hips.
109,Tension,Relax shoulders.
110,Head Too High,Legs will sink.
110,Blowing Bubbles,Exhale fully.
110,Crossing Centerline,Reaching too far.
111,Toes Numb,Lift heels slightly.
111,Leaning,Don't rest on console.
111,No Resistance,Add load.
112,Bouncing,Control fast speeds.
112,Slouching,Chest up.
112,Holding rails,Use moving arms.
113,Rocking Hips,Seat too far/close.
113,Banging Knees,Adjust alignment.
113,Gripping hard,Relax.
114,Pulling Early,Drive legs first.
114,Rounding Back,Hinge hips.
114,Chicken Wings,Elbows back.
115,Leaning on Console,"Isolates calves, cheating."
115,Tiptoes,Use heels.
115,Double Stepping,Risk of fall.
116,Seat Too Low,Knee pain.
116,Bouncing,Increase resistance.
116,Hunching,Chest open.
117,Bending Elbows,Arms straight.
117,Rushing,Flow slowly.
117,Forcing,Gentle range.
118,Elbows Flaring,Tuck them.
118,Shrugging,Push floor away.
118,Distance,Don't drift forward.
119,Plonking Down,Control descent.
119,Knees Caving,Push out.
119,Heels Lifting,Flat feet.
120,Tilting Head,Keep level.
120,Forcing,Gentle.
120,Jaw Tension,Relax face.
121,Rolling Hips,Don't tip back.
121,Feet separating,Keep touching.
121,Too Fast,Squeeze.
122,Rounding,Chest up.
122,Momentum,Strict pull.
122,Shrugging,Depress scapula.
123,Kipping,Strict strength.
123,Half Reps,Full ROM.
123,Chin Reaching,Pull high.
124,Grip Too Narrow,Wrists hurt.
124,Elbow Flare,Keep tucked.
124,Bouncing,Control.
125,Hips Lifting,Keep grounded.
125,Locking Elbows,Keep soft.
125,Crunching Neck,Shoulders down.
126,Same Side,Opposite limbs.
126,Rushing,Balance.
126,Arching,Neutral spine.
127,Heel Lift,Work mobility.
127,Rounding,Keep upright.
127,Knee Cave,Track toe.
128,Sagging Hips,Lift them.
128,Falling,Control.
128,Slow,Find rhythm.
129,Dropping Hips,Tabletop position.
129,Shrugging,Push floor.
129,Wrist Pain,Turn hands out.
130,Butt High,Plank line.
130,Looking Back,Look forward.
130,Dropping head,Neutral.
131,Arm Only,Use hips.
131,Stiff Legs,Pivot.
131,Rounding,Tall posture.
132,Pulling Neck,Don't.
132,Hip Flexors,Isolate abs.
132,Fast,Control.
133,Back Arching,Stop leg early.
133,Bent Arms,Straight.
133,Confusing Limbs,Practice.
134,Too Low,Touch lower chest.
134,Bouncing,Touch.
134,Unracking,Be careful.
135,Misalignment,Check position.
135,Locking Hard,Soft lock.
135,Using Traps,Depress shoulders.
136,Momentum,Use abs.
136,Back Pain,Limit range.
136,Neck Pull,Hands on chest.
137,Clanking Weights,Touch gently.
137,Flaring,45 deg angle.
137,Deep,Protect shoulders.
138,Pressing,Keep arc.
138,Too Heavy,Isolation move.
138,Straight Arms,Slight bend.
139,Elbows Flaring,Keep in.
139,Moving Shoulders,Elbow hinge only.
139,Hitting Head,Be careful!
140,Sagging Hips,Heavy core.
140,Face Plant,Control.
140,Elbow Flare,Arrow shape.
141,Hands Too High,Under chest.
141,Flaring,Tuck.
141,Hips,Plank.
142,Arching Back,Isolate hip.
142,Opening Hips,Stay square.
142,Swinging,Control.
143,Leaning Back,Reduce weight.
143,Shrugging,Traps down.
143,High,Shoulder height.
144,Arching,Ribs down.
144,Impacting Shoulders,Turn palms in/neutral.
144,Momentum,Strict.
145,Flapping,Control.
145,Traps,Neck long.
145,Heavy,Go light.
146,Grinding,Rotation needed.
146,Arching,Core.
146,Speed,Slow.
147,Neck pull,Abs.
147,Momentum,Slow.
147,Lower Back,Press down.
148,Roling Back,Stay on side.
148,Neck,Keep neutral.
148,Range,Lift high.
149,Arms only,Rotate torso.
149,Round back,Posture.
149,Knee Torque,Pivot foot.
150,Leaning Back,Stay vertical.
150,Shrugging,Relax traps.
150,Throwing,Lift.
151,Rising Up,Stay down.
151,Hunched,Look forward.
151,Knee Pain,Stop.
152,Swinging,Strict.
152,Torso Rising,Stay bent.
152,Head Up,Neutral neck.
153,Wrist Extension,Keep wrists straight.
153,Swinging,Strict.
153,Elbow flare,Pin them.
154,Rushing,Two distinct moves.
154,Arching,Ribs down.
154,Leaning,Vertical.
155,Rounding,Flat back.
155,Just Arms,Use hips.
155,Knee Torque,Pivot!
156,Dropping Elbows,Keep 90 deg.
156,Hiking Traps,Shoulders down.
156,Momentum,Strict.
157,Squatting,It's a hinge.
157,Rounding,Chest out.
157,Looking Up,Chin tuck.
158,Clanking,Don't.
158,Flaring,Tuck elbows.
158,Feet Dancing,Plant them.
159,Bouncing elbows,Gentle touch.
159,Arching,Flat back.
159,Speed,Control.
160,Lifting Chest,Stay glued.
160,Head Bobbing,Still.
160,Short ROM,Full hanging.
161,Knee Slam,Control.
161,Leaning,Stay tall.
161,Tightrope,Widen.
162,Arching Back,Too heavy.
162,Half Reps,Full extension.
162,Flaring Ribs,Abs tight.
163,Bending Elbows,Not skullcrusher.
163,Hips Rising,Keep down.
163,Range,Shoulder safety.
164,Rolling,Accident risk.
164,Bending Arms,Don't.
164,Head Jutting,Neck back.
165,Bending Both,Straighten one.
165,Knee Cave,Push out.
165,Rounding,Flat back.
166,Pressing out,Punch it.
166,Rounding,Flat back.
166,Slow,Explosive.
167,Separating moves,Fluid.
167,Back round,Posture.
167,Weak Drive,Use hips.
168,Pausing,Fluid.
168,Squatting Early,Wait for bar.
168,Arching,Abs.
169,Knees Caving,Push out.
169,Heels Up,Flat.
169,Looking Down,Forward.
170,Bouncing,Dead stop.
170,Knee Cave,Aliign.
170,Low Box,90 deg.
171,Stutter,Commit.
171,Knees,Soft touch.
171,Leaning,Tall.
172,Dropping Weight,Secure grip.
172,Rushing,Squeeze.
172,Rounding,Chest up.
173,Face plant,Be fast.
173,Sagging,Core.
173,Half rep,Full ROM.
174,Lift off pad,Keep elbows down.
174,Short ROM,All the way.
174,Wrist curl,Neutral.
175,Arching back,Ribs down.
175,Neck pain,Look forward.
175,Feet too far,Hamstrings take over.
176,Knee slam,Control.
176,Stiff,Absorb.
176,Torso,Upright.
177,New Elbow,Pin it.
177,heavy,Incorrect.
177,Body turn,Isolate.
178,Bouncing,Control.
178,Knees bent,Straight.
178,Rolling,Big toe.
179,Pulling to Chin,To Eyes.
179,Elbows Low,High.
179,Head Forward,Neutral.
180,slouching,Tall.
180,Swinging weights,Stable.
180,Rushing,Control.
181,Leaning,Stay centered.
181,Back Rotation,Hips only.
181,Low,Challenge range.
182,Flaring,Elbows in.
182,Pressing,Extension only.
182,Unsafe,Spotter.
183,Pressing,Arc.
183,Deep,Shoulder.
183,Fast,Tension.
184,Toes dragging,Be fast.
184,Landing hard,Soft.
184,Fear,Commit.
185,Shrugging,Shoulders down.
185,Head Lift,Keep down.
185,Momentum,Squeeze.
186,Arching,Hands under glutes.
186,Big Kicks,Small.
186,Bent Knees,Straight.
187,Rolling Bone,Painful.
187,Too Fast,Slow.
187,Tensing,Relax.
188,Fast,Slow.
188,Arching back,Core.
188,Rolling knee,Avoid joints.
189,Forcing,Relax.
189,Pain,Ease off.
189,Tensing,Let go.
190,Numbness,Stop.
190,Bone,Muscle only.
190,Fast,Slow.
191,Slouching,Support weight.
191,Rolling Bone,Soft tissue.
191,Too fast,Melt.
192,Knee,Avoid popliteal.
192,Fast,Slow.
192,Slacking,Put weight on.
193,Tensing,Relax.
193,Rushing,Sink in.
193,Knee,Avoid.
194,Ribs,Careful on floating ribs.
194,Fast,Slow.
194,Tense,Relax.
195,Arching,Keep ribs down.
195,Pain,Stop.
195,Kidneys,Don't go too low/side.
196,Weight,Don't press hard.
196,Vertebrae,Soft tissue.
196,Fast,Slow.
197,Bone,Stay on meat.
197,Fast,Breathe.
197,Tensing,Relax.
198,Back sag,Plank strong.
198,Kneecap,Avoid.
198,Rushing,Target knots.
199,Lower back,Stay upper.
199,Neck,Support.
199,Fast,Explore.
200,Lean,Tall.
200,High,Level.
200,Traps,Down.
201,Arching Back,Engage core.
201,Forcing Height,Stay natural.
201,Bent Knee,Straight leg.
202,Stiff Landing,Absorb impact.
202,Looking Down,Forward.
202,Stopping,Find rhythm.
203,Elbows Dropping,Torso falls forward.
203,Rounding Upper Back,Chest up.
203,Heels lifting,Mobility.
204,Dropping Hands,Keep guard up.
204,Lazy Retract,Snap back.
204,Flat Foot,Ball of foot.
205,Pressing out,Use leg drive.
205,Slow elbows,Fast turnover.
205,Short split,Step wide.
206,Lifting Hips,Tailbone down.
206,Tensing neck,Relax.
206,Forcing,Gentle.
207,Rounding,Chest up.
207,Knees caving,Push out.
207,Heels up,Flat.
208,Sagging hips,Plank strong.
208,Narrow feet,Outside hands.
208,Stiff,Relax hips.
209,Rings wandering,Stabilize.
209,Shrugging,Push down.
209,Kipping,Strict first.
210,Bent Knees,Straighten.
210,Leaning back,Stay vertical.
210,Shaking,Normal!
211,Kipping,Strict.
211,Half reps,Full range.
211,One arm pull,Symmetry.
212,Bent arms,Lock out.
212,Rings shaking,Stabilize.
212,Shoulders up,Depress.
213,Hips sagging,Core.
213,Head Bob,Neutral.
213,Elbow flare,Tuck.
214,Shrugging,Relax traps.
214,Head forward,Head back.
214,Locking hard,Soft lockout.
215,Rounding back,Hinge hips.
215,Bouncing,Static.
215,Bent knee,Straight.
216,Elbow flare,Dangerous.
216,Arching,Hollow body.
216,Crashing,Control.
217,Walking on bent arms,Straighten.
217,Over-arching,Hollow.
217,Legs flailing,Together.
218,Momentum,Stop at bottom.
218,Arching,Hollow.
218,Shoulder pain,Active hang.
219,Bent knees,Straighten.
219,Swinging,Strict.
219,Leaning back,Core.
220,Bent arms,Straight.
220,Missing contact,Touch.
220,Hyperextending,Core.
221,Dropping legs,Keep high.
221,Momentum,Control.
221,Grip failure,Chalk up.
222,Rounding,Flat back.
222,Pulling with arms,Long arms.
222,Hyperextending,Just stand tall.
223,shin scrape,Commit.
223,Hard landing,Soft.
223,Falling off,Focus.
224,Low knees,Get them up.
224,Slow,Sprint pace.
224,Heel striking,Toes.
225,Stopping,Continuous.
225,Hips low,Start high.
225,Neck craning,Follow spine.
226,Heels touching,Stay on balls.
226,Slow,Rhythm.
226,Knee pain,Stop.
227,Moving Torso,Isolate hip.
227,Small circle,Maximize.
227,Speed,Slow.
228,Arching back,Glutes only.
228,Pushing head,Relax neck.
228,Knees caving,Parallel.
229,Flat back breaks,Keep shape.
229,Big rock,Subtle.
229,Head forward,Arms by ears.
230,Heels touching,Stay up.
230,Knees bending deep,Stiff legs.
230,Heavy,Light.
231,Bending knees,Try not to.
231,Sagging hips,Plank.
231,Rushing,Stretch.
232,Bouncing off chest,Touch.
232,Too steep,Shoulders take over.
232,Wrists bent,Straight.
233,Pressing,Flye motion.
233,Touching weights,Stop before touch.
233,Head lifting,Stay back.
234,Flaring,Tuck.
234,Too narrow,Wrist strain.
234,Arching,Flat back.
235,Flaring elbows,45 deg.
235,Dumping weights forward,Vertical forearm.
235,Short ROM,Touch shoulders.
236,Slipping,Steady.
236,Hips sagging,Plank.
236,Wrist pain,Check grip.
237,Rolling hips,Stay square.
237,Plank break,Straight line.
237,Rushing,Control.
238,Butt high,Line.
238,Sagging,Lift.
238,Head drop,Neutral.
239,Half reps,Touch chest.
239,Hips low,Plank.
239,Neck,Look forward.
240,Body twist,Shoulder only.
240,Heavy,Injury risk.
240,Elbow moving,Pin it.
241,Bouncing,Control.
241,Knees bent,Straight.
241,Rolling ankle,Stability.
242,Sagging hips,Glutes on.
242,Chin reaching,Chest specific.
242,Kipping,Strict.
243,Bent legs,Straight.
243,Momentum,Abs.
243,Neck pull,Don't.
244,Stiff legs,Bend knees.
244,Chest drop,Upright.
244,Pausing,Flow.
245,Heels touching,Stay up.
245,Knee bending,Ankle focus.
245,Slow,Fast.
246, Knees in,Knees out.
246,Heavy landing,Soft.
246,Partial arms,Full range.
247,Hips wobbly,Lock them.
247,Dropping KB,Grip.
247,Hitting legs,Clearance.
248,Squatting,Hips back.
248,Rounding,Chest up.
248,Hyperextending,Tall.
249,Hip opening,Keep square.
249,Rounding,Posture.
249,Touch down,Try to float.
250,Banging wrist,Punch through.
250,Strict clean,Use swing.
250,Arching,Ribs down.
251,Rounding,Postue.
251,Heels up,Ankle mobility.
251,Dropping chest,Look forward.
252,Pausing,Fluid.
252,Pressing early,Leg drive.
252,Arching,Core.
253,Bending both knees,Keep back leg straight.
253,Looking down,Look at weight.
253,Rounding,Chest open.
254,Butt high,Lower.
254,Sagging hips,Lift.
254,Head drop,Neutral.
255,Twisting,Stay flat.
255,Sagging,Core.
255,Rushing,Balance.
256,Hesitation,Commit.
256,Landing stiff,Soft.
256,Toes dragging,Explode.
257,Head lifting,Relax neck.
257,Tensing shoulders,Down.
257,Holding breath,Exhale.
258,Moving hips,Use abs not glutes.
258,Pulling with arms,Abs.
258,Straight back,Round it (flexion).
259,Arching,Ribs down.
259,Leaning too far,Glute squeeze.
259,Knee pain,Pad floor.
260,Leaning back,Core.
260,Side lean,Stay vertical.
260,Shoulder hike,Down.
261,Bending elbows,Locked.
261,Sagging hips,Plank.
261,Neck movement,Still.
262,Arching,Ribs down.
262,Twisting,Square hips.
262,Elbow flare,Tuck.
263,Forcing,Pain.
263,Bent elbows,Straight.
263,Shoulder shrug,Relax.
264,Dropping legs,Hold.
264,Kipping,Strict.
264,Half ROM,Full pull.
265,Arching,Ribs down.
265,Shrugging,Relax traps.
265,Stance,Stable.
266,Swinging,Strict.
266,Traps,Down.
266,Heavy,Light.
267,Rounding,Flat back.
267,Knee cave,Push out.
267,Heel lift,Flat.
268,Shrugging,Neck long.
268,Too heavy,Form.
268,Range,Shoulder height.
269,Arm moving away,Pin elbow.
269,Body roll,Stable.
269,Heavy,Light.
270,Wrist curl,Neutral.
270,Fast,Slow.
270,Pain,Stop.
271,Momentum,Strict.
271,Position,Elbow on hip.
271,Weight,Light.
272,Hip lift,Flat.
272,Speed,Slow.
272,Pain,ROM limit.
273,Shoulder pop,Depress.
273,Wrist,Straight.
273,Rushing,Squeeze.
274,Knee Lockout,Soft knees.
274,Shallow,90 deg.
274,Hips Lifting,Push low back down.
275,Slipping,Secure feet.
275,Bouncing,Control.
275,Knee bend,Straight.
276,Ego lifting,Full ROM.
276,Locking,Never.
276,Hands on knees,Hands on handles.
277,Momentum,Squeeze.
277,Back rounding,Chest up.
277,Feet touching,Keep up.
278,Shrugging,Relax traps.
278,Pressing,Flye arc.
278,Swinging,Stance.
279,Leaning,Tall.
279,Knee slam,Control.
279,Low kick,Aim high.
280,Rising up,Stay low.
280,Dropping guard,Hands up.
280,Slack,Punch hard.
281,Knee cave,Stable.
281,Twisting Knee,Torso only.
281,Falling,Widen stance.
282,Leaning,Upright.
282,Swinging arms,Strict.
282,Rising,Stay down.
283,Arching,Hands under butt.
283,Bent knees,Straight.
283,Neck,Relax.
284,Elbow move,Pin.
284,Face,Avoid hitting.
284,Fast,Slow.
285,Jerking,Smooth.
285,Heavy,Dangerous.
285,Hyperextending,Neutral.
286,Lifting hips,Press down.
286,Momentum,Squeeze.
286,Toes out,Neutral.
287,Arching,Imprint spine.
287,Momentum,Control.
287,Neck lift,Relax.
288,Rolling back,Stack hips.
288,Toe up,Heel up.
288,High kick,Target muscle.
289,Bent knee,Straight.
289,Arching,Press down.
289,Rushing,Slow.
290,Stepping off fast,Control stack.
290,Shrugging,Depress.
290,Kipping,Strict.
291,Lifting elbows,Plant them.
291,Short ROM,Full.
291,Rocking,Isolate.
292,Knees caving,Push out.
292,Heels lifting,Flat.
292,Shallow,Depth.
293,Arching,Ribs down.
293,Head forward,Back.
293,Elbow flare,Slight tuck.
294,Spine twist,Pivot feet.
294,Weak slam,Power.
294,Rounding,Squat.
295,Elbow flare,Tuck.
