id,Exercise name,Gender,instructions,avg_time_per_rep,is_per_side,exercise_type,place,equipments,requires_weight,weight_unit,recommended_weight_range
11,Ankle Pumps,both,1. Sit or lie down with legs extended. 2. Point your toes away from you (plantarflexion) as far as possible. 3. Pull your toes back toward your shins (dorsiflexion) as far as possible. 4. Repeat rhythmically.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
12,Assisted  Machine Seated Tricep Dips,both,1. Sit on the assisted dip machine. 2. Select appropriate counterweight. 3. Grip handles and place knees on the pad. 4. Lower your body by bending elbows until upper arms are parallel to floor. 5. Push back up to start.,3,false,Strength,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
13,Assisted Tricep Dips,both,1. Setup on a dip machine or parallel bars. 2. Support your bodyweight with arms straight. 3. Lower 'assist' pad if using machine. 4. Lower body by bending elbows to 90 degrees. 5. Push back up to full extension.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
14,Back Extensions  Hyperextensions,both,"1. Position yourself on the back extension bench, pads just below hips. 2. Cross arms over chest. 3. Lower torso towards the floor until you feel a hamstring stretch. 4. Raise torso back up until in line with legs.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
15,Barbell  Box  Block Cleans,both,"1. Set barbell on blocks/boxes at knee height. 2. Grip bar slightly wider than shoulders. 3. Explosively extend hips and knees, shrugging shoulders to pull bar up. 4. Drop under the bar, catching it on your front deltoids in a partial squat. 5. Stand up.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
16,Barbell Bench Press  Chest Press,both,"1. Lie on bench, feet flat on floor. 2. Grip bar slightly wider than shoulders. 3. Unrack and hold over chest. 4. Lower bar with control to mid-chest. 5. Press bar back up to starting position.",3,false,Strength,Gym,"[""Barbell"", ""Bench""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
17,Barbell Box Squats,both,1. Place a box/bench behind you. 2. Unrack barbell on upper back. 3. Squat down until you sit briefly on the box. 4. Pause for a split second without relaxing core. 5. Drive explosively back up.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
18,Barbell Clean and Press  Jerk  Overhead Press,both,"1. Grip bar shoulder-width, clean it to shoulder height (rack position). 2. Press the bar overhead while slightly dipping legs? No, Strict press vs Push Press. Title implies multiple. Let's do Standard: Clean the bar to shoulders. Dip knees slightly, then drive up explosively to press bar overhead.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
19,Barbell Cleans,both,"1. Stand over bar. 2. Lift bar explosively (like deadlift + shrug). 3. Pull underneath the bar, catching it across shoulders in a front squat position. 4. Stand up.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
20,Barbell Curls  Standing Biceps Curls,both,"1. Stand holding barbell with underhand grip, shoulder-width. 2. Keep elbows at sides. 3. Curl bar up towards chest using biceps. 4. Lower slowly to start.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
21,Barbell Deadlifts,both,"1. Stand with feet hip-width, barbell over mid-foot. 2. Bend at hips/knees to grab bar. 3. flatten back, engage lats. 4. Drive through floor to stand up with bar. 5. Lower with control.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
22,Barbell Drag Bicep Curls,both,1. Stand holding barbell. 2. Draw elbows back and drag bar up along your body. 3. Ideally bar touches stiff as you curl. 4. Focus is on the peak contraction.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
23,Barbell Front Raises,both,"1. Stand with barbell, overhand grip. 2. Keep arms straight. 3. Raise bar forward and up to shoulder level. 4. Lower with control.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
24,Barbell Good Mornings,both,"1. Barbell on upper back (squat position). 2. Hinge at hips, pushing butt back. 3. Lower torso until parallel to floor (or flexibility limit). 4. Maintain flat back/slight arch. 5. Squeeze glutes/hamstrings to return to standing.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
25,Barbell Hack Squats,both,"1. Hold barbell behind legs (or use machine). No, Barbell Hack Squat: Barbell on floor behind heels. 1. Squat down to grab bar. 2. Drive up to standing, bar tracing back of legs. 3. Lower back down.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
26,Barbell High Pulls,both,"1. Grip barbell wide. 2. Explosively extend hips/knees. 3. Pull bar high to chest level, elbows leading high. 4. Control the descent.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
27,Barbell Hip Thrusts,both,"1. Sit on floor, bench behind you. 2. Roll barbell over hips. 3. Lean upper back on bench. 4. Drive hips up until body is flat. 5. Squeeze glutes. 6. Lower hips.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
28,Barbell Kneeling Squats,both,1. Kneel on floor. 2. Barbell on upper back (squat position). 3. Lower hips to heels. 4. Engage glutes to extend hips back to kneeling tall position.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
29,Barbell Lunges,both,1. Barbell on upper back. 2. Step forward with one leg. 3. Lower until back knee nears floor. 4. Push back to start.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
30,Barbell Overhead Squats,both,"1. Hold bar overhead with wide grip, arms locked. 2. Feet shoulder-width. 3. Squat down while keeping bar balanced overhead. 4. Drive back up.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
31,Barbell Power Snatch,both,1. Wide grip on bar. 2. Start from hang or floor. 3. Explosively pull bar up and catch it overhead in a partial squat position. 4. Stand up.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
32,Barbell Pullovers  Lying Chest Overhead Extensions,both,1. Lie specific on bench. 2. Hold barbell over chest. 3. Keep arms slightly bent. 4. Lower bar backwards over head towards floor. 5. Pull back to chest.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
33,Barbell Push and Press,both,1. Barbell on front shoulders. 2. Dip knees slightly. 3. Drive up explosively. 4. Use momentum to press bar overhead. 5. Lower safely.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
34,Barbell Pushups  Push-ups,both,"1. Place barbell on floor/rack. No, Pushups on barbell? 1. Set bar in rack at low height. 2. Grip bar, assume plank position. 3. Lower chest to bar. 4. Push back up.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
35,Barbell Shoulder Press  Overhead Press,both,1. Stand with bar on front shoulders. 2. Press bar directly overhead. 3. Lock out arms. 4. Lower to shoulders.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
36,Barbell Shoulder Shrugs,both,1. Hold barbell with overhand grip. 2. Shrug shoulders up towards ears. 3. Pause at top. 4. Lower slowly.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
37,Barbell Snatch,both,1. Wide grip. 2. Explosive pull from floor. 3. Catch overhead in full squat. 4. Stand up.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
38,Barbell Split Squats,both,1. Bar on back. 2. Split stance (lunge). 3. Lower hips (stationary lunge). 4. Drive up.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
39,Barbell Squat  Power Cleans,both,1. Power Clean bar to shoulders. 2. Perform a Front Squat. 3. Repeat or cycle.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
40,Barbell Squats,both,1. Bar on upper back. 2. Feet shoulder width. 3. Hips back and down. 4. Parallel or lower. 5. Drive up.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
41,Barbell Step-ups,both,1. Bar on back. 2. Step up onto box/bench. 3. Drive through elevated foot. 4. Stand tall. 5. Step down.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
42,Barbell Windshield Wipers,both,1. Lie on floor holding barbell over chest (arms locked). 2. Lift legs straight up. 3. Rotate legs side to side. 4. Keep shoulders down.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
43,Battle Bilateral Waves,both,1. Grip ropes ends. 2. Move both arms up and down together. 3. Create waves.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
44,Battle Rope Double Arm Slams,both,1. Lift both ropes high. 2. Slam them down hard to the floor.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
45,Battle Rope Double Waves,both,1. Similar to Bilateral Waves. 2. Fast tempo. 3. Maintain consistent wave pattern.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
46,Battle Rope Jumping Jacks,both,1. Hold ropes. 2. Perform Jumping Jacks while swinging ropes up and down.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
47,Battle Rope Reverse Lunges,both,1. Hold ropes. 2. Reverse lunge while performing waves.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
48,Battle Rope Snakes,both,1. Move arms in/out to create snake (horizontal) waves on floor.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
49,Battle Rope Squatting Alternating Waves,both,1. Squat up and down. 2. Alternating waves with arms throughout.,3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
50,Bear Crawls,both,"1. Start on hands and toes, knees hovering. 2. Crawl forward moving opposite hand and foot. 3. Keep back flat (tabletop).",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
51,Behind Back Standing Resistance Band Chest Presses,both,"1. Stand with feet staggered, holding a resistance band behind your back at armpit level. 2. Hold the ends of the band. 3. Press your hands forward until arms are fully extended. 4. Slowly return to the starting position.",3,false,Strength,Gym,"[""Resistance Band""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
52,Behind-the-Back Standing Bicep Curls,both,"1. Hold resistance band behind your back, palms facing forward. 2. Curl hands up towards shoulders. 3. Squeeze biceps. 4. Lower slowly.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
53,Bench Cable Flyes,both,"1. Place a flat bench in the middle of a cable machine. 2. Set pulleys to low position. 3. Lie on back, handle in each hand. 4. Start with arms extended above chest, slight bend in elbows. 5. Lower arms out to sides in wide arc until chest stretch is felt. 6. Squeeze chest to bring handles back together.",3,false,Strength,Gym,"[""Cable Machine"", ""Bench""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
54,Bench Flutter Kicks,both,"1. Lie flat on bench with hips at the edge. 2. Hands gripping bench for stability. 3. Extend legs straight out. 4. Kick legs up and down in small, rapid scissoring motion.",3,false,Strength,Gym,"[""Bench""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
55,Bench Hops  Box Jumps,both,"1. Stand facing a sturdy box or bench. 2. Bend knees and swing arms back. 3. Explode up, landing softly with both feet on the box. 4. Stand tall to complete rep. 5. Step down carefully.",3,false,Strength,Gym,"[""Bench""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
56,Bent Over Barbell Row from Floor  Barbell  Pendlay Row,both,"1. Barbell on floor. 2. Bend knees slightly, hinge hips until torso is parallel to floor. 3. Grip bar. 4. Explosively pull bar to lower chest/upper stomach. 5. Return bar to floor between reps (Pendlay style).",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
57,Bent Over Barbell Rows,both,"1. Holding barbell, hinge at hips to 45 degrees. 2. Pull bar to stomach. 3. Lower slowly without touching floor.",3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
58,Bent Over Double Arm Tricep Kickbacks,both,1. Hinge forward at hips. 2. Elbows high and pinned to sides. 3. Extend arms back fully. 4. Bend elbows to 90 degrees.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
59,Bent Over Dumbbell Shoulder Pendulums  Swings,both,"1. Hinge forward, allowing arms to hang. 2. Swing light dumbbells gently in circles or pendulum motions. 3. Use momentum to mobilize shoulder joint.",3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
60,Bent Over Shoulder Pendulums  Swings,both,"1. Hinge forward, support healthy arm on table/bench. 2. Let injured/stiff arm hang loose. 3. Gently swing forward/back, side-to-side, and circles.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
61,Bent Over Two-Arm Long Barbell  T-Bar Rows,both,1. Straddle the bar (or use machine). 2. Hinge forward approx 45 degrees. 3. Grip handle. 4. Pull weight towards chest. 5. Lower with control.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
62,Bent Over Two-Armed Water Bottle Rows,both,"1. Hold water bottles. 2. Bend knees, hinge forward. 3. Pull bottles to hip pockets. 4. Lower.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
63,Bent Over Water Bottle Flyes,both,"1. Hinge forward, bottles in hand. 2. Raise arms out to sides (reverse fly). 3. Squeeze upper back.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
64,Bicycles  Elbow-to-Knee Crunches  Cross-body Crunches,both,1. Lie specific flat. 2. Hands behind head. 3. Bring opposite elbow to opposite knee while extending other leg. 4. Alternate sides in fluid motion.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
65,Bird Dogs  Alternating Reach & Kickbacks,both,1. Start on hands and knees (tabletop). 2. Simultaneously extend Right Arm and Left Leg. 3. Hold for a count. 4. Return and switch sides.,3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
66,Bodyweight Calf Raises,both,1. Stand on edge of step (or flat ground). 2. Raise heels as high as possible. 3. Lower heels below step level (if on step).,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
67,Bodyweight Shoulder Presses,both,1. Pike position (hips high) or handstand against wall. 2. Lower head towards floor. 3. Press back up.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
68,Bodyweight Side Steps  Lateral Lunges,both,1. Stand tall. 2. Step wide to the side. 3. Push hips back and bend that knee while keeping other leg straight. 4. Push off bent leg to return.,3,true,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
69,Bodyweight Squats,both,1. Feet shoulder-width. 2. Hips back and down. 3. Go to parallel or lower. 4. Stand up.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
70,Bodyweight Sumo  Wide Stance Squats,both,"1. Wide stance, toes pointed out 45 degrees. 2. Squat down vertically. 3. Drive up.",3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
71,Bodyweight Walking Lunges,both,1. Step forward into lunge. 2. Lower back knee. 3. Drive up and bring back foot forward to meet front. 4. Step opposite leg forward (continuous walking).,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
72,Bosu Ball Bridges Hip Raises  Glute Bridges,both,"1. Lie on back, feet on BOSU (dome side up). 2. Lift hips to bridge. 3. Lower slowly.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
73,Bosu Ball Burpees,both,1. Hold BOSU (dome down). 2. Jump feet back to plank. 3. Pushup. 4. Jump feet in. 5. Lift BOSU overhead as you stand/jump.,1,false,Cardio,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
74,Bosu Ball Chest Dumbbell Flyes  Flies,both,1. Lie on BOSU (dome side up) supporting upper back. 2. Hips bridged up. 3. Perform dumbbell flyes.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
75,Bosu Ball Chest Dumbbell Press,both,1. Lie on BOSU (upper back). 2. Bridge hips. 3. Press dumbbells over chest.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
76,Bosu Ball Leg Pull-in  Knee Tucks,both,"1. Sit on BOSU dome. 2. Balance on butt, hands behind or off. 3. Extend legs and lean back. 4. Crunch knees to chest.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
77,Bosu Ball Mountain Climbers,both,1. BOSU dome side down (platform up). 2. Hands on edges. 3. Plank position. 4. Drive alternating knees to chest.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
78,Bosu Ball Plank,both,1. Forearms or hands on BOSU dome. 2. Hold plank bodyline.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
79,Bosu Ball Plank Leg Lifts,both,1. Plank on BOSU. 2. Lift one straight leg upwards. 3. Lower and switch.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
80,Bosu Ball Plank to Push-Up  Walking Plank Up-Downs,both,1. Plank hands on BOSU. 2. Go down to forearms one by one. 3. Push back up to hands.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
81,Bosu Ball Push-ups  Pushups,both,1. BOSU dome side down. 2. Grip edges. 3. Perform pushups.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
82,Bosu Ball Side Planks,both,1. Forearm on BOSU dome. 2. Stack feet/knees. 3. Lift hips into side plank.,3,true,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
83,Bosu Ball Single  One Leg Bridge  Hip Thrusts  Extensions  Raises,both,"1. Upper back on BOSU. 2. One foot on floor, one extended. 3. Drive hips up using planted leg.",3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
84,Bosu Ball Single  One Leg Pistol Squats,both,1. Stand on BOSU (Dome side up). 2. Lift one leg. 3. Squat down on standing leg. 4. Rise up.,3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
85,Bosu Ball Squats,both,1. Stand on dome side up. 2. Find balance. 3. Perform squats.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
86,Bosu Ball Static Balance,both,1. Stand on BOSU (either side). 2. Maintain balance. 3. Close eyes for advanced.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
87,Bosu Ball V-ups,both,1. Sit on dome. 2. Balance on glutes. 3. Extend legs and torso out. 4. Crunch up to 'V' shape.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
88,Box Pike Holds,both,"1. Feet on box, hands on floor. 2. Walk hands in until torso is vertical (Pike). 3. Hold.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
